species	status
Candidatus_Saccharimonas_aalborgensis	present
Candidatus_Mycosynbacter_amalyticus	present
Candidatus_Chaera_renei	present
Candidatus_Microsaccharimonas_sossegonensis	present
Candidatus_Southlakia_epibionticum	present
Candidatus_Nanosynbacter_lyticus	present
Candidatus_Nanosynbacter_featherlites	present
Candidatus_Nanosynbacter_sp__TM7_074	present
Candidatus_Nanosyncoccus_alces	absent
Candidatus_Nanosyncoccus_nanoralicus	absent
Candidatus_Nanogingivalis_gingivitcus	absent
Candidatus_Minimicrobia_vallesae	absent
