accession	gtdb_taxonomy
GB_GCA_038064395.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__JBBTTE01;s__JBBTTE01 sp038064395
GB_GCA_964479125.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__CAYZJK01;s__CAYZJK01 sp964479125
GB_GCA_963718685.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__CAVQWH01;s__CAVQWH01 sp963718685
GB_GCA_964448925.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA10212;g__JAYTJL01;s__JAYTJL01 sp964448925
GB_GCA_964562505.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__CAZLTB01;g__CAZLTB01;s__CAZLTB01 sp964562505
GB_GCA_964467655.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__UBA4664;f__UBA4664;g__GCA-016699105;s__GCA-016699105 sp964467655
GB_GCA_036388415.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__UBA4665;s__UBA4665 sp036388415
GB_GCA_049643705.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__JBARQK01;s__JBARQK01 sp049643705
GB_GCA_027357065.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__JAJZWH01;s__JAJZWH01 sp027357065
GB_GCA_964537935.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__CAZICT01;g__CAZICT01;s__CAZICT01 sp964537935
GB_GCA_045603985.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp045603985
GB_GCA_030146045.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__JASLDG01;s__JASLDG01 sp030146045
GB_GCA_947306055.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp947306055
GB_GCA_963927785.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanoperiomorbus;s__Nanoperiomorbus sp963927785
GB_GCA_017540545.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2834;s__UBA2834 sp017540545
GB_GCA_013333845.2	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas sp013333845
