DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Protein presence (refined)
COLOR	#000000
STRIP_WIDTH	30
MARGIN	10
BORDER_WIDTH	0
LEGEND_TITLE	Architectural ortholog
LEGEND_SHAPES	1	1	1
LEGEND_COLORS	#2ca02c	#ff7f0e	#d62728
LEGEND_LABELS	Present	Possible (truncated)	Absent
DATA
GB_GCA_038064395.1	#2ca02c	Present (high-confidence)
GB_GCA_964479125.1	#2ca02c	Present (high-confidence)
GB_GCA_963718685.1	#d62728	Absent
GB_GCA_964448925.1	#2ca02c	Present (high-confidence)
GB_GCA_964562505.1	#2ca02c	Present (high-confidence)
GB_GCA_964467655.1	#d62728	Absent
GB_GCA_036388415.1	#2ca02c	Present (high-confidence)
GB_GCA_049643705.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_027357065.1	#2ca02c	Present (high-confidence)
GB_GCA_964537935.1	#2ca02c	Present (high-confidence)
GB_GCA_045603985.1	#d62728	Absent
GB_GCA_030146045.1	#2ca02c	Present (high-confidence)
GB_GCA_947306055.1	#d62728	Absent
GB_GCA_963927785.1	#d62728	Absent
GB_GCA_017540545.1	#d62728	Absent
GB_GCA_013333845.2	#2ca02c	Present (high-confidence)
GB_GCA_916049555.1	#d62728	Absent
GB_GCA_013816445.1	#2ca02c	Present (high-confidence)
GB_GCA_043740875.1	#2ca02c	Present (high-confidence)
GB_GCA_964485445.1	#d62728	Absent
GB_GCA_964636355.1	#2ca02c	Present (high-confidence)
GB_GCA_964401035.1	#2ca02c	Present (high-confidence)
GB_GCA_963542535.1	#d62728	Absent
GB_GCA_964489295.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_027459325.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_964481235.1	#2ca02c	Present (high-confidence)
GB_GCA_027492255.1	#2ca02c	Present (high-confidence)
GB_GCA_052034685.1	#2ca02c	Present (high-confidence)
GB_GCA_007845205.1	#d62728	Absent
GB_GCA_041906505.1	#2ca02c	Present (high-confidence)
GB_GCA_903899655.1	#d62728	Absent
GB_GCA_001788565.1	#d62728	Absent
GB_GCA_022842995.1	#2ca02c	Present (high-confidence)
GB_GCA_029288335.1	#2ca02c	Present (high-confidence)
GB_GCA_938036155.1	#d62728	Absent
GB_GCA_964453655.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_012965045.1	#2ca02c	Present (high-confidence)
GB_GCA_964548655.1	#2ca02c	Present (high-confidence)
GB_GCA_038213615.1	#2ca02c	Present (high-confidence)
GB_GCA_045630905.1	#d62728	Absent
GB_GCA_045651145.1	#d62728	Absent
GB_GCA_035491975.1	#2ca02c	Present (high-confidence)
GB_GCA_039926445.1	#2ca02c	Present (high-confidence)
GB_GCA_017556795.1	#d62728	Absent
GB_GCA_021846095.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_023257055.1	#2ca02c	Present (high-confidence)
GB_GCA_947305705.1	#d62728	Absent
GB_GCA_943353165.1	#2ca02c	Present (high-confidence)
GB_GCA_964639295.1	#2ca02c	Present (high-confidence)
GB_GCA_021804085.1	#d62728	Absent
GB_GCA_037141755.1	#d62728	Absent
GB_GCA_030856205.1	#2ca02c	Present (high-confidence)
GB_GCA_038231175.1	#2ca02c	Present (high-confidence)
GB_GCA_963518805.1	#d62728	Absent
GB_GCA_045641305.1	#d62728	Absent
GB_GCA_963552615.1	#d62728	Absent
GB_GCA_964639835.1	#d62728	Absent
GB_GCA_017545595.1	#d62728	Absent
GB_GCA_964524615.1	#d62728	Absent
GB_GCA_963528615.1	#2ca02c	Present (high-confidence)
GB_GCA_031290255.1	#d62728	Absent
GB_GCA_964530365.1	#2ca02c	Present (high-confidence)
GB_GCA_937872425.1	#2ca02c	Present (high-confidence)
GB_GCA_964426305.1	#2ca02c	Present (high-confidence)
GB_GCA_027345405.1	#2ca02c	Present (high-confidence)
GB_GCA_036276695.1	#d62728	Absent
GB_GCA_964426845.1	#2ca02c	Present (high-confidence)
GB_GCA_965240135.1	#2ca02c	Present (high-confidence)
GB_GCA_002336935.1	#2ca02c	Present (high-confidence)
GB_GCA_947169915.1	#d62728	Absent
GB_GCA_946500965.1	#d62728	Absent
GB_GCA_964537815.1	#d62728	Absent
GB_GCA_963545035.1	#d62728	Absent
GB_GCA_051005235.1	#2ca02c	Present (high-confidence)
GB_GCA_964433265.1	#2ca02c	Present (high-confidence)
GB_GCA_009778015.1	#d62728	Absent
GB_GCA_964570115.1	#d62728	Absent
GB_GCA_964651645.1	#2ca02c	Present (high-confidence)
GB_GCA_035758825.1	#2ca02c	Present (high-confidence)
GB_GCA_963530345.1	#2ca02c	Present (high-confidence)
GB_GCA_035480855.1	#2ca02c	Present (high-confidence)
GB_GCA_035278105.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_963547725.1	#2ca02c	Present (high-confidence)
GB_GCA_045593145.1	#d62728	Absent
GB_GCA_017513185.1	#d62728	Absent
GB_GCA_964545515.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_017514975.1	#d62728	Absent
GB_GCA_016290315.1	#d62728	Absent
GB_GCA_963548005.1	#2ca02c	Present (high-confidence)
GB_GCA_964610345.1	#2ca02c	Present (high-confidence)
RS_GCF_022828245.2	#2ca02c	Present (high-confidence)
GB_GCA_029778565.1	#2ca02c	Present (high-confidence)
GB_GCA_040384745.1	#2ca02c	Present (high-confidence)
GB_GCA_036568905.1	#2ca02c	Present (high-confidence)
GB_GCA_964609915.1	#d62728	Absent
GB_GCA_007135955.1	#2ca02c	Present (high-confidence)
GB_GCA_035494435.1	#2ca02c	Present (high-confidence)
GB_GCA_947166405.1	#d62728	Absent
GB_GCA_964534605.1	#2ca02c	Present (high-confidence)
GB_GCA_947367565.1	#d62728	Absent
GB_GCA_963548735.1	#d62728	Absent
GB_GCA_017545485.1	#d62728	Absent
GB_GCA_043745485.1	#2ca02c	Present (high-confidence)
GB_GCA_964481105.1	#d62728	Absent
GB_GCA_964483505.1	#d62728	Absent
GB_GCA_964652665.1	#d62728	Absent
GB_GCA_018057585.1	#2ca02c	Present (high-confidence)
GB_GCA_948614045.1	#d62728	Absent
GB_GCA_903832635.1	#2ca02c	Present (high-confidence)
GB_GCA_964431415.1	#2ca02c	Present (high-confidence)
GB_GCA_021846445.1	#d62728	Absent
GB_GCA_905372855.1	#2ca02c	Present (high-confidence)
GB_GCA_964394555.1	#d62728	Absent
GB_GCA_937959535.1	#2ca02c	Present (high-confidence)
GB_GCA_028286245.1	#2ca02c	Present (high-confidence)
GB_GCA_963699195.1	#d62728	Absent
GB_GCA_039922435.1	#2ca02c	Present (high-confidence)
GB_GCA_003231925.1	#2ca02c	Present (high-confidence)
GB_GCA_003516025.1	#2ca02c	Present (high-confidence)
GB_GCA_040900005.1	#d62728	Absent
GB_GCA_028286385.1	#2ca02c	Present (high-confidence)
GB_GCA_964508335.1	#d62728	Absent
GB_GCA_949063825.1	#d62728	Absent
GB_GCA_963544125.1	#2ca02c	Present (high-confidence)
GB_GCA_021811625.1	#d62728	Absent
GB_GCA_964513385.1	#2ca02c	Present (high-confidence)
GB_GCA_947253285.1	#d62728	Absent
GB_GCA_963544575.1	#d62728	Absent
GB_GCA_964615775.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_017645955.1	#d62728	Absent
GB_GCA_038209015.1	#2ca02c	Present (high-confidence)
GB_GCA_964547425.1	#2ca02c	Present (high-confidence)
GB_GCA_938017655.1	#d62728	Absent
GB_GCA_017510305.1	#d62728	Absent
GB_GCA_017552385.1	#d62728	Absent
GB_GCA_963549685.1	#2ca02c	Present (high-confidence)
GB_GCA_964541145.1	#2ca02c	Present (high-confidence)
